EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,JobSatisfaction,WorkLifeBalance,JobInvolvement,TenureCategory,SalaryCategory
16,29,0,Rarely,"Research & Development",21,4,"Life Sciences",F,"Manufacturing Director",D,9980,1,0,10,10,1,3,4,Long-Term,High
17,32,0,Rarely,"Research & Development",5,2,"Life Sciences",M,"Research Scientist",D,3298,0,1,7,6,2,2,4,Medium-Term,Medium
18,22,0,"No Travel","Research & Development",16,2,Medical,M,"Laboratory Technician",D,2935,1,1,1,1,4,2,4,Short-Term,Low
19,53,0,Rarely,Sales,2,4,"Life Sciences",F,Manager,M,15427,2,0,31,25,4,3,2,Long-Term,High
20,38,0,Rarely,"Research & Development",2,3,"Life Sciences",M,"Research Scientist",S,3944,5,1,6,3,4,3,3,Medium-Term,Medium
21,24,0,"No Travel","Research & Development",11,2,Other,F,"Manufacturing Director",D,4011,0,0,5,4,3,2,4,Medium-Term,Medium
22,36,1,Rarely,Sales,9,4,"Life Sciences",M,"Sales Representative",S,3407,7,0,10,5,1,3,2,Medium-Term,Medium
23,34,0,Rarely,"Research & Development",7,4,"Life Sciences",F,"Research Director",S,11994,0,0,13,12,2,3,3,Long-Term,High
24,21,0,Rarely,"Research & Development",15,2,"Life Sciences",M,"Research Scientist",S,1232,1,0,0,0,4,3,3,Short-Term,Low
25,34,1,Rarely,"Research & Development",6,1,Medical,M,"Research Scientist",S,2960,2,0,8,4,1,3,3,Medium-Term,Low
26,53,0,Rarely,"Research & Development",5,3,Other,F,Manager,D,19094,4,0,26,14,3,2,3,Long-Term,High
27,32,1,Frequently,"Research & Development",16,1,"Life Sciences",F,"Research Scientist",S,3919,1,1,10,10,1,3,1,Long-Term,Medium
28,42,0,Rarely,Sales,8,4,Marketing,M,"Sales Executive",M,6825,0,0,10,9,2,3,3,Long-Term,Medium
29,44,0,Rarely,"Research & Development",7,4,Medical,F,"Healthcare Representative",M,10248,3,0,24,22,4,3,2,Long-Term,High
30,46,0,Rarely,Sales,2,4,Marketing,F,Manager,S,18947,3,0,22,2,1,2,3,Short-Term,High
31,33,0,Rarely,"Research & Development",2,3,Medical,M,"Laboratory Technician",S,2496,4,0,7,1,4,3,3,Short-Term,Low
32,44,0,Rarely,"Research & Development",10,4,Other,M,"Healthcare Representative",M,6465,2,1,9,4,4,4,3,Medium-Term,Medium
33,30,0,Rarely,"Research & Development",9,2,Medical,M,"Laboratory Technician",S,2206,1,0,10,10,3,3,2,Long-Term,Low
34,39,1,Rarely,Sales,5,3,"Technical Degree",M,"Sales Representative",M,2086,3,0,19,1,4,4,3,Short-Term,Low
35,24,1,Rarely,"Research & Development",1,3,Medical,M,"Research Scientist",M,2293,2,1,6,2,4,2,3,Short-Term,Low
36,43,0,Rarely,"Research & Development",2,2,Medical,F,"Research Scientist",D,2645,1,0,6,5,3,2,4,Medium-Term,Low
37,50,1,Rarely,Sales,3,2,Marketing,M,"Sales Representative",M,2683,1,1,3,3,3,3,2,Medium-Term,Low
38,35,0,Rarely,Sales,2,3,Marketing,F,"Sales Representative",M,2014,1,0,2,2,4,3,3,Short-Term,Low
39,36,0,Rarely,"Research & Development",5,4,"Life Sciences",F,"Research Scientist",M,3419,9,1,6,1,1,4,2,Short-Term,Medium
40,33,0,Frequently,Sales,1,3,"Life Sciences",F,"Sales Executive",M,5376,2,0,10,5,1,3,4,Medium-Term,Medium
41,35,0,Rarely,"Research & Development",4,2,Other,M,"Laboratory Technician",D,1951,1,0,1,1,4,3,3,Short-Term,Low
42,27,0,Rarely,"Research & Development",2,4,"Life Sciences",F,"Laboratory Technician",D,2341,1,0,1,1,1,3,3,Short-Term,Low
43,26,1,Rarely,"Research & Development",25,3,"Life Sciences",M,"Laboratory Technician",S,2293,1,0,1,1,3,2,1,Short-Term,Low
44,27,0,Frequently,Sales,8,3,"Life Sciences",M,"Sales Executive",S,8726,1,0,9,9,3,3,3,Long-Term,High
45,30,0,Frequently,"Research & Development",1,2,Medical,F,"Laboratory Technician",S,4011,1,0,12,12,4,3,3,Long-Term,Medium
46,41,1,Rarely,"Research & Development",12,3,"Technical Degree",F,"Research Director",M,19509,1,0,23,22,3,3,3,Long-Term,High
47,34,0,"No Travel",Sales,23,4,Marketing,M,"Sales Executive",S,4568,0,0,10,9,3,3,3,Long-Term,Medium
48,37,0,Rarely,"Research & Development",19,2,"Life Sciences",M,"Research Scientist",M,3022,4,0,8,1,2,3,3,Short-Term,Medium
49,46,0,Frequently,Sales,5,4,Marketing,M,"Sales Executive",S,5772,4,1,14,9,4,3,3,Long-Term,Medium
50,35,0,Rarely,"Research & Development",8,1,"Life Sciences",M,"Laboratory Technician",M,2269,1,0,1,1,4,3,4,Short-Term,Low
51,48,1,Rarely,"Research & Development",1,2,"Life Sciences",M,"Laboratory Technician",S,5381,9,1,23,1,3,3,2,Short-Term,Medium
52,28,1,Rarely,"Research & Development",5,4,"Technical Degree",M,"Laboratory Technician",S,3441,1,1,2,2,3,2,3,Short-Term,Medium
53,44,0,Rarely,Sales,1,5,Marketing,F,"Sales Executive",D,5454,5,1,9,4,1,2,3,Medium-Term,Medium
54,35,0,"No Travel","Research & Development",11,2,Medical,M,"Healthcare Representative",M,9884,2,1,10,4,1,3,2,Medium-Term,High
55,26,0,Rarely,Sales,23,3,Marketing,F,"Sales Executive",M,4157,7,1,5,2,4,2,2,Short-Term,Medium
56,33,0,Frequently,"Research & Development",1,2,"Life Sciences",F,"Research Director",S,13458,1,1,15,15,4,3,3,Long-Term,High
57,35,0,Frequently,Sales,18,5,"Life Sciences",M,"Sales Executive",M,9069,1,0,9,9,1,2,3,Long-Term,High
58,35,0,Rarely,"Research & Development",23,4,Medical,F,"Laboratory Technician",M,4014,3,1,4,2,1,3,3,Short-Term,Medium
59,31,0,Rarely,"Research & Development",7,4,"Life Sciences",M,"Laboratory Technician",D,5915,3,0,10,7,4,2,3,Medium-Term,Medium
60,37,0,Rarely,"Research & Development",1,4,"Life Sciences",M,"Manufacturing Director",D,5993,1,0,7,7,3,4,2,Medium-Term,Medium
61,32,0,Rarely,"Research & Development",1,3,Medical,M,"Manufacturing Director",M,6162,1,1,9,9,4,3,3,Long-Term,Medium
62,38,0,Frequently,"Research & Development",29,5,"Life Sciences",F,"Laboratory Technician",S,2406,1,0,10,10,4,3,3,Long-Term,Low
63,50,0,Rarely,"Research & Development",7,2,Medical,F,"Research Director",D,18740,5,1,29,27,3,2,2,Long-Term,High
64,59,0,Rarely,Sales,25,3,"Life Sciences",F,"Sales Executive",S,7637,7,0,28,21,1,2,3,Long-Term,Medium
65,36,0,Rarely,"Research & Development",8,3,"Technical Degree",F,"Healthcare Representative",D,10096,1,0,17,17,3,3,3,Long-Term,High
66,55,0,Rarely,"Research & Development",8,3,Medical,F,Manager,D,14756,2,1,21,5,3,3,3,Medium-Term,High
67,36,0,Frequently,"Research & Development",11,3,"Life Sciences",M,"Manufacturing Director",S,6499,1,0,6,6,2,3,2,Medium-Term,Medium
68,45,0,Rarely,"Research & Development",7,3,"Life Sciences",M,"Research Scientist",D,9724,2,0,25,1,1,3,3,Short-Term,High
69,35,0,Frequently,"Research & Development",1,3,Medical,M,"Research Scientist",M,2194,4,0,5,3,1,2,3,Medium-Term,Low
70,36,1,Rarely,"Research & Development",9,3,Medical,M,"Research Scientist",M,3388,0,1,2,1,3,2,2,Short-Term,Medium
71,59,0,Frequently,Sales,1,1,"Life Sciences",F,"Sales Executive",S,5473,7,0,20,4,3,2,2,Medium-Term,Medium
72,29,0,Rarely,"Research & Development",2,3,"Life Sciences",M,"Research Scientist",M,2703,0,0,6,5,2,3,3,Medium-Term,Low
73,31,0,Rarely,"Research & Development",1,4,Medical,M,"Research Scientist",S,2501,1,0,1,1,2,3,3,Short-Term,Low
74,32,0,Rarely,"Research & Development",1,3,"Life Sciences",M,"Research Scientist",M,6220,1,0,10,10,2,3,3,Long-Term,Medium
75,36,0,Rarely,"Research & Development",6,3,"Life Sciences",F,"Laboratory Technician",M,3038,3,0,5,1,4,3,4,Short-Term,Medium
76,31,0,Rarely,"Research & Development",8,4,"Life Sciences",F,"Manufacturing Director",S,4424,1,0,11,11,4,3,3,Long-Term,Medium
77,35,0,Rarely,Sales,1,4,Marketing,M,"Sales Executive",S,4312,0,0,16,15,1,3,2,Long-Term,Medium
78,45,0,Rarely,"Research & Development",6,4,Other,M,"Research Director",M,13245,4,1,17,0,1,4,3,Short-Term,High
79,37,0,Rarely,"Research & Development",7,4,Medical,M,"Research Director",S,13664,4,0,16,5,3,4,3,Medium-Term,High
80,46,0,Rarely,"Human Resources",5,2,Medical,M,"Human Resources",D,5021,8,1,16,4,2,3,3,Medium-Term,Medium
81,30,0,Rarely,"Research & Development",1,1,"Life Sciences",M,"Laboratory Technician",M,5126,1,1,10,10,4,2,2,Long-Term,Medium
82,35,0,Rarely,"Research & Development",1,3,Medical,M,"Research Scientist",S,2859,1,0,6,6,3,3,2,Medium-Term,Low
83,55,0,Rarely,Sales,1,2,"Life Sciences",M,"Sales Executive",M,10239,3,0,24,1,4,3,3,Short-Term,High
84,38,0,"No Travel","Research & Development",6,3,Medical,F,"Research Scientist",D,5329,7,1,17,13,4,3,1,Long-Term,Medium
85,34,0,Rarely,"Research & Development",1,2,Medical,M,"Manufacturing Director",M,4325,1,0,5,5,2,3,3,Medium-Term,Medium
86,56,0,Rarely,"Research & Development",7,3,"Life Sciences",M,"Manufacturing Director",S,7260,4,0,37,6,4,2,1,Medium-Term,Medium
87,23,0,Rarely,Sales,2,1,"Technical Degree",M,"Sales Representative",D,2322,3,0,3,0,1,3,3,Short-Term,Low
88,51,0,Rarely,"Research & Development",9,4,"Life Sciences",M,"Laboratory Technician",M,2075,3,0,10,4,4,3,3,Medium-Term,Low
89,30,0,Rarely,"Research & Development",2,3,"Life Sciences",M,"Healthcare Representative",M,4152,1,0,11,11,4,3,2,Long-Term,Medium
90,46,1,Rarely,Sales,9,2,Medical,M,"Sales Executive",S,9619,1,0,9,9,4,3,2,Long-Term,High
91,40,0,Frequently,"Research & Development",1,4,"Life Sciences",M,"Healthcare Representative",M,13503,1,0,22,22,2,2,2,Long-Term,High
92,51,0,Rarely,Sales,21,4,Marketing,M,"Sales Executive",S,5441,0,1,11,10,4,1,3,Long-Term,Medium
93,30,0,Rarely,Sales,4,2,Medical,F,"Sales Executive",D,5209,1,1,11,11,2,2,2,Long-Term,Medium
94,46,0,Frequently,"Research & Development",1,3,Medical,M,"Healthcare Representative",M,10673,2,1,21,10,1,2,2,Long-Term,High
95,32,0,Rarely,Sales,6,4,Medical,M,"Sales Executive",S,5010,1,0,12,11,3,3,3,Long-Term,Medium
96,54,0,Rarely,"Research & Development",2,4,"Technical Degree",F,"Research Director",M,13549,9,0,16,4,3,1,3,Medium-Term,High
97,24,0,Rarely,Sales,3,2,Other,F,"Sales Executive",M,4999,0,0,4,3,3,2,3,Medium-Term,Medium
98,28,0,"No Travel",Sales,4,3,Medical,M,"Sales Executive",M,4221,1,0,5,5,3,4,3,Medium-Term,Medium
99,58,0,Rarely,Sales,10,4,Medical,M,"Sales Executive",S,13872,0,0,38,37,3,2,3,Long-Term,High
100,44,0,"No Travel","Research & Development",23,3,Medical,M,"Laboratory Technician",M,2042,4,0,17,3,2,4,3,Medium-Term,Low
101,37,1,Rarely,"Human Resources",6,4,"Human Resources",M,"Human Resources",D,2073,4,1,7,3,1,3,3,Medium-Term,Low
102,32,0,Rarely,"Research & Development",1,1,"Life Sciences",M,"Research Scientist",S,2956,1,0,1,1,1,3,3,Short-Term,Low
103,20,1,Frequently,"Research & Development",6,3,"Life Sciences",F,"Laboratory Technician",S,2926,1,1,1,1,4,3,2,Short-Term,Low
104,34,0,Rarely,"Research & Development",6,4,Other,F,"Research Scientist",S,4809,1,0,16,16,3,3,3,Long-Term,Medium
105,37,0,"No Travel","Research & Development",2,2,"Life Sciences",M,"Healthcare Representative",D,5163,5,0,17,1,4,4,2,Short-Term,Medium
106,59,0,"No Travel","Human Resources",2,4,"Human Resources",F,Manager,M,18844,9,0,30,3,4,3,2,Medium-Term,High
107,50,0,Frequently,"Research & Development",1,3,"Life Sciences",F,"Research Director",M,18172,3,1,28,8,2,2,3,Long-Term,High
108,25,1,Rarely,Sales,5,3,Marketing,M,"Sales Executive",S,5744,1,1,6,6,3,3,2,Medium-Term,Medium
109,25,0,Rarely,"Research & Development",7,1,Medical,M,"Research Scientist",M,2889,1,0,2,2,4,3,2,Short-Term,Low
110,22,0,Rarely,"Research & Development",15,3,Medical,F,"Laboratory Technician",S,2871,1,0,1,0,4,3,3,Short-Term,Low
111,51,0,Frequently,"Research & Development",1,4,Medical,F,"Healthcare Representative",S,7484,3,0,23,13,1,2,2,Long-Term,Medium
112,34,1,Frequently,"Research & Development",7,3,"Life Sciences",M,"Laboratory Technician",S,6074,1,1,9,9,3,3,1,Long-Term,Medium
113,54,0,"No Travel","Human Resources",26,3,"Human Resources",F,Manager,S,17328,2,1,23,5,4,3,4,Medium-Term,High
114,24,0,Rarely,"Research & Development",18,1,"Life Sciences",M,"Laboratory Technician",M,2774,0,0,6,5,3,3,3,Medium-Term,Low
115,34,0,Rarely,"Research & Development",6,4,"Life Sciences",F,"Research Scientist",D,4505,6,0,12,1,2,3,2,Short-Term,Medium
116,37,0,Rarely,Sales,3,3,"Life Sciences",M,"Sales Executive",S,7428,2,0,12,5,4,3,3,Medium-Term,Medium
117,34,0,Rarely,"Research & Development",5,3,Medical,F,Manager,S,11631,2,0,14,11,1,3,2,Long-Term,High
118,36,0,Frequently,Sales,11,2,"Technical Degree",F,"Sales Executive",M,9738,0,0,10,9,4,3,3,Long-Term,High
119,36,0,Rarely,"Research & Development",3,2,"Life Sciences",F,"Laboratory Technician",D,2835,5,0,7,1,4,3,3,Short-Term,Low
120,43,0,Frequently,Sales,26,2,"Life Sciences",M,Manager,M,16959,1,1,25,25,4,4,3,Long-Term,High
121,30,0,Frequently,"Research & Development",23,3,"Life Sciences",M,"Research Scientist",D,2613,1,0,10,10,3,2,1,Long-Term,Low
122,33,0,"No Travel",Sales,22,2,Marketing,M,"Sales Executive",M,6146,0,0,8,7,2,4,3,Medium-Term,Medium
123,56,1,Rarely,"Research & Development",14,4,"Life Sciences",F,"Research Scientist",M,4963,9,1,7,5,2,3,3,Medium-Term,Medium
124,51,0,Rarely,"Research & Development",6,3,"Life Sciences",M,"Research Director",S,19509,7,0,23,20,3,3,3,Long-Term,High
125,31,1,Rarely,Sales,6,4,"Life Sciences",M,"Sales Executive",M,6172,4,1,12,7,3,2,1,Medium-Term,Medium
126,26,0,Rarely,"Research & Development",6,3,Other,F,"Research Scientist",M,2368,1,0,5,5,2,2,2,Medium-Term,Low
127,58,1,Rarely,"Research & Development",23,4,Medical,F,"Healthcare Representative",M,10312,1,0,40,40,4,2,3,Long-Term,High
128,19,1,Rarely,Sales,22,1,Marketing,M,"Sales Representative",S,1675,1,1,0,0,3,2,3,Short-Term,Low
129,22,0,Rarely,"Research & Development",2,1,"Technical Degree",M,"Laboratory Technician",M,2523,0,0,3,2,4,3,3,Short-Term,Low
130,49,0,Rarely,"Research & Development",20,4,Medical,F,"Manufacturing Director",M,6567,1,0,16,15,1,2,3,Long-Term,Medium
131,43,0,Frequently,"Research & Development",28,3,Medical,F,"Research Scientist",S,4739,4,0,18,3,3,3,4,Medium-Term,Medium
132,50,0,Frequently,Sales,12,3,Marketing,F,"Sales Executive",S,9208,4,0,16,2,4,3,3,Short-Term,High
133,31,1,Rarely,Sales,20,3,"Life Sciences",F,"Sales Executive",M,4559,3,1,4,2,3,3,1,Short-Term,Medium
134,41,0,Rarely,Sales,9,1,"Life Sciences",M,"Sales Executive",D,8189,3,1,12,9,3,3,3,Long-Term,High
135,26,0,Rarely,"Human Resources",25,1,"Life Sciences",F,"Human Resources",M,2942,1,0,8,8,3,3,3,Long-Term,Low
136,36,0,Rarely,"Research & Development",6,2,Medical,M,"Manufacturing Director",D,4941,6,0,7,3,2,3,3,Medium-Term,Medium
137,51,1,Frequently,"Research & Development",8,4,"Life Sciences",M,"Manufacturing Director",S,10650,2,0,18,4,4,3,1,Medium-Term,High
138,39,0,Rarely,Sales,4,4,"Life Sciences",F,"Sales Executive",M,5902,4,0,17,15,3,4,2,Long-Term,Medium
139,25,0,Rarely,Sales,28,3,"Life Sciences",M,"Sales Executive",M,8639,2,0,6,2,3,3,2,Short-Term,High
140,30,0,Rarely,"Human Resources",9,3,"Human Resources",M,"Human Resources",M,6347,0,1,12,11,4,1,3,Long-Term,Medium
141,32,1,Rarely,"Research & Development",9,3,Medical,F,"Laboratory Technician",S,4200,7,0,10,5,1,4,3,Medium-Term,Medium
142,45,0,Rarely,"Research & Development",29,3,Medical,M,"Research Scientist",S,3452,5,0,9,6,4,2,3,Medium-Term,Medium
143,38,0,Rarely,"Research & Development",3,5,"Technical Degree",F,"Research Scientist",S,4317,3,1,19,3,3,3,3,Medium-Term,Medium
144,30,0,Rarely,"Research & Development",18,3,"Life Sciences",F,"Research Scientist",S,2632,1,0,5,5,3,2,3,Medium-Term,Low
145,32,0,Frequently,Sales,9,2,Medical,M,"Sales Executive",D,4668,0,0,9,8,4,4,1,Long-Term,Medium
146,30,0,Rarely,"Research & Development",5,3,"Technical Degree",F,"Research Scientist",D,3204,5,0,8,3,1,3,3,Medium-Term,Medium
147,30,0,Rarely,"Research & Development",2,1,Medical,M,"Laboratory Technician",S,2720,0,0,6,5,4,3,2,Medium-Term,Low
148,41,0,Frequently,"Research & Development",10,3,"Life Sciences",M,Manager,D,17181,4,0,21,7,1,2,2,Medium-Term,High
149,41,0,Rarely,"Research & Development",9,4,"Life Sciences",M,"Laboratory Technician",M,2238,2,0,7,5,1,3,3,Medium-Term,Low
150,19,0,Rarely,"Research & Development",3,1,Medical,F,"Laboratory Technician",S,1483,1,0,1,1,2,3,3,Short-Term,Low
151,40,0,Frequently,"Research & Development",26,3,Medical,F,"Research Scientist",D,5605,1,0,20,20,2,3,3,Long-Term,Medium
152,35,0,Rarely,Sales,1,5,Marketing,M,"Sales Executive",M,7295,1,0,10,10,2,3,3,Long-Term,Medium
153,53,0,Rarely,Sales,6,2,Marketing,M,"Sales Representative",M,2306,2,1,13,7,3,1,3,Medium-Term,Low
154,45,0,Rarely,"Research & Development",9,3,"Life Sciences",M,"Laboratory Technician",D,2348,8,0,20,17,2,1,3,Long-Term,Low
155,32,0,Frequently,Sales,8,3,Marketing,F,"Sales Executive",S,8998,1,0,9,9,4,3,3,Long-Term,High
156,29,0,"No Travel","Research & Development",1,1,"Technical Degree",M,"Manufacturing Director",M,4319,1,0,10,10,3,3,3,Long-Term,Medium
157,51,0,Rarely,"Research & Development",7,4,Medical,M,"Manufacturing Director",M,6132,2,0,10,1,3,3,2,Short-Term,Medium
158,58,0,Rarely,"Research & Development",9,3,Medical,F,"Research Scientist",M,3346,4,1,9,1,2,2,2,Short-Term,Medium
159,40,0,Rarely,Sales,4,4,Marketing,M,"Sales Executive",M,10855,7,0,15,12,4,2,2,Long-Term,High
160,34,0,Frequently,Sales,2,4,Marketing,F,"Sales Representative",M,2231,6,0,6,4,3,3,3,Medium-Term,Low
161,22,0,Rarely,"Research & Development",19,1,Medical,M,"Research Scientist",M,2323,1,0,2,2,4,3,3,Short-Term,Low
162,27,0,"No Travel","Research & Development",9,3,Medical,M,"Research Scientist",D,2024,6,0,6,2,2,1,3,Short-Term,Low
163,28,0,Rarely,"Research & Development",21,3,Medical,M,"Research Scientist",M,2713,1,0,5,5,4,1,3,Medium-Term,Low
164,57,0,Rarely,"Research & Development",24,2,"Life Sciences",M,"Healthcare Representative",D,9439,3,1,12,5,4,1,4,Medium-Term,High
165,27,0,"No Travel","Research & Development",3,3,Medical,M,"Research Scientist",D,2566,1,1,1,1,3,2,2,Short-Term,Low
166,50,0,Rarely,"Research & Development",11,3,"Life Sciences",F,Manager,S,19509,3,0,21,5,2,3,3,Medium-Term,High
167,41,0,Rarely,"Research & Development",14,3,"Life Sciences",M,"Research Scientist",D,2451,4,0,13,9,3,3,3,Long-Term,Low
168,30,0,Rarely,Sales,5,3,"Life Sciences",F,"Sales Executive",M,9419,2,0,12,10,4,3,3,Long-Term,High
169,38,0,Rarely,Sales,1,4,"Life Sciences",F,"Sales Executive",S,8686,4,0,12,8,4,4,2,Long-Term,High
170,32,0,Rarely,"Research & Development",6,5,"Life Sciences",M,"Research Scientist",S,3038,3,0,8,5,3,3,3,Medium-Term,Medium
171,27,0,Rarely,"Research & Development",17,3,"Technical Degree",M,"Research Scientist",M,3058,0,1,6,5,2,2,3,Medium-Term,Medium
172,19,1,Frequently,Sales,1,1,"Technical Degree",F,"Sales Representative",S,2325,0,0,1,0,1,4,1,Short-Term,Low
173,36,0,Frequently,"Research & Development",3,2,Medical,M,"Laboratory Technician",S,2088,4,0,13,8,2,2,3,Long-Term,Low
174,30,0,"No Travel","Research & Development",9,3,Medical,M,"Laboratory Technician",D,3072,1,0,12,12,1,3,3,Long-Term,Medium
175,45,0,Rarely,Sales,4,2,"Life Sciences",F,"Sales Executive",D,5006,4,1,9,5,1,4,3,Medium-Term,Medium
176,56,0,Rarely,"Research & Development",8,3,"Life Sciences",F,"Research Scientist",D,4257,4,1,19,2,1,3,3,Short-Term,Medium
177,33,0,Rarely,"Research & Development",2,3,"Life Sciences",M,"Research Scientist",S,2500,0,0,4,3,4,4,3,Medium-Term,Low
178,19,1,Rarely,"Research & Development",2,3,"Life Sciences",M,"Laboratory Technician",S,1102,1,0,1,1,4,2,2,Short-Term,Low
179,46,0,Rarely,Sales,1,2,Marketing,F,"Sales Executive",D,10453,1,0,24,24,1,3,3,Long-Term,High
180,38,0,Rarely,"Research & Development",9,2,"Life Sciences",F,"Laboratory Technician",S,2288,1,0,2,2,4,3,3,Short-Term,Low
181,31,0,Rarely,"Research & Development",12,1,Medical,F,"Research Scientist",M,3929,8,1,7,4,4,3,3,Medium-Term,Medium
182,34,0,Rarely,"Research & Development",27,2,Medical,F,"Research Scientist",S,2311,2,0,9,3,2,3,3,Medium-Term,Low
183,41,1,Rarely,Sales,20,2,Marketing,F,"Sales Representative",S,3140,1,1,4,4,2,2,3,Medium-Term,Medium
184,50,0,Rarely,"Research & Development",1,3,Medical,M,"Laboratory Technician",M,3690,2,0,5,3,3,2,2,Medium-Term,Medium
185,53,0,Rarely,"Research & Development",13,2,Medical,F,"Manufacturing Director",D,4450,1,0,5,4,1,3,4,Medium-Term,Medium
186,33,0,Rarely,"Research & Development",14,3,Medical,F,"Research Scientist",M,2756,1,0,8,8,2,3,3,Long-Term,Low
187,40,0,Rarely,"Research & Development",4,1,Medical,F,Manager,M,19033,1,0,21,20,3,3,3,Long-Term,High
188,55,0,Rarely,"Research & Development",14,4,Medical,M,"Research Director",S,18722,8,0,36,24,2,3,4,Long-Term,High
189,34,0,Frequently,"Research & Development",2,1,"Life Sciences",M,"Manufacturing Director",M,9547,1,0,10,10,3,2,2,Long-Term,High
190,51,0,Rarely,"Research & Development",3,3,Medical,F,"Healthcare Representative",S,13734,3,0,21,7,2,3,3,Medium-Term,High
191,52,0,Rarely,"Research & Development",1,4,"Life Sciences",M,Manager,M,19509,0,0,34,33,3,3,2,Long-Term,High
192,27,0,Rarely,"Research & Development",9,3,Medical,F,"Research Scientist",S,2279,1,0,7,7,2,2,3,Medium-Term,Low
193,35,1,Rarely,"Research & Development",23,2,"Life Sciences",M,"Manufacturing Director",M,5916,3,1,8,1,3,3,2,Short-Term,Medium
194,43,0,"No Travel","Research & Development",7,3,Medical,M,"Research Scientist",D,2089,4,0,7,5,4,4,4,Medium-Term,Low
195,45,0,"No Travel","Research & Development",2,2,Medical,M,Manager,M,16792,9,0,22,20,4,3,2,Long-Term,High
196,37,0,Rarely,"Research & Development",21,3,"Life Sciences",M,"Research Scientist",M,3564,1,1,8,8,1,2,4,Long-Term,Medium
197,35,0,Frequently,"Research & Development",2,3,Medical,F,"Laboratory Technician",S,4425,5,0,10,6,2,3,3,Medium-Term,Medium
198,42,0,"No Travel","Research & Development",21,2,Medical,F,"Manufacturing Director",D,5265,2,0,11,5,3,3,3,Medium-Term,Medium
199,38,0,Rarely,"Research & Development",2,4,"Life Sciences",M,"Manufacturing Director",M,6553,9,0,14,1,3,3,3,Short-Term,Medium
200,38,0,Rarely,"Research & Development",29,3,"Technical Degree",M,"Manufacturing Director",M,6261,3,0,9,7,4,1,3,Medium-Term,Medium
201,27,0,Frequently,"Research & Development",1,1,"Technical Degree",M,"Manufacturing Director",M,4298,5,0,6,2,1,3,2,Short-Term,Medium
202,49,0,"No Travel","Research & Development",18,4,"Life Sciences",M,"Manufacturing Director",D,6804,1,1,7,7,4,3,3,Medium-Term,Medium
203,34,0,Frequently,"Research & Development",10,4,Medical,M,"Research Scientist",D,3815,1,1,5,5,3,4,3,Medium-Term,Medium
204,40,0,Rarely,"Research & Development",19,2,Medical,M,"Laboratory Technician",M,2741,8,1,15,7,4,4,3,Medium-Term,Low
205,38,1,Rarely,"Research & Development",29,1,Medical,M,"Healthcare Representative",M,6673,7,1,17,1,1,3,3,Short-Term,Medium
206,29,1,Rarely,Sales,27,3,Marketing,F,"Sales Executive",M,7639,1,0,10,10,4,2,3,Long-Term,Medium
